x,y,cluster,is_included,target,segment,stream
0.6839115353,0.5435036727,10,True,1,0,-1
0.6857011239,0.5511360485,10,True,1,0,-1
0.6128098875,0.5702447167,10,True,1,0,-1
0.6355533713,0.5440473666,10,True,1,0,-1
0.6536933881,0.6055935235,10,True,1,0,-1
0.6031794386,0.5507261033,10,True,1,0,-1
0.5967205737,0.538333143,10,True,1,0,-1
0.6207759979,0.5691997369,10,True,1,0,-1
0.5861210297,0.5080189423,10,True,1,0,-1
0.6208386228,0.5692149603,10,True,1,0,-1
0.5921701786,0.5833238187,10,True,1,0,-1
0.6179472591,0.5693574081,10,True,1,0,-1
0.6454969452,0.5692519315,10,True,1,0,-1
0.62352619,0.5282965524,10,True,1,0,-1
0.6191488097,0.5694367874,10,True,1,0,-1
0.6921483129,0.5661376524,10,True,1,0,-1
0.6287431696,0.5646501057,10,True,1,0,-1
0.6158445457,0.5699967922,10,True,1,0,-1
0.6454375045,0.5902026347,10,True,1,0,-1
0.6178984329,0.601659354,10,True,1,0,-1
0.6071609016,0.5631908311,10,True,1,0,-1
0.6173432996,0.567151098,10,True,1,0,-1
0.6473544659,0.5512871955,10,True,1,0,-1
0.6810148644,0.600723113,10,True,1,0,-1
0.613211112,0.5498007362,10,True,1,0,-1
0.6170652022,0.577906452,10,True,1,0,-1
0.5762230978,0.5648708455,10,True,1,0,-1
0.6212313558,0.5570775362,10,True,1,0,-1
0.6234678108,0.5697347317,10,True,1,0,-1
0.5827191131,0.564443502,10,True,1,0,-1
0.6290626632,0.5076883764,10,True,1,0,-1
0.6043937265,0.5683298265,10,True,1,0,-1
0.642961164,0.5436537322,10,True,1,0,-1
0.5736045243,0.4882730649,10,True,1,0,-1
0.6436457931,0.5638824099,10,True,1,0,-1
0.6271319031,0.5443246505,10,True,1,0,-1
0.6130805548,0.564157519,10,True,1,0,-1
0.6164283379,0.5963387648,10,True,1,0,-1
0.6202346632,0.5479152055,10,True,1,0,-1
0.6305338196,0.5429349688,10,True,1,0,-1
0.6341841132,0.5445899732,10,True,1,0,-1
0.6431193186,0.5745094521,10,True,1,0,-1
0.6224976542,0.5606430812,10,True,1,0,-1
0.6567386606,0.5520516292,10,True,1,0,-1
0.5968914656,0.6298825077,10,True,1,0,-1
0.5564293569,0.5726891647,10,True,1,0,-1
0.6490304803,0.5733035389,10,True,1,0,-1
0.5750236701,0.6204918256,10,True,1,0,-1
0.6210891228,0.5694128649,10,True,1,0,-1
0.6214192308,0.5491450412,10,True,1,0,-1
0.6348209775,0.5884639014,10,True,1,0,-1
0.569005303,0.64077596,10,True,1,0,-1
0.5378573339,0.4983455393,10,True,1,0,-1
0.6198960638,0.5668281438,10,True,1,0,-1
0.614360652,0.6184834201,10,True,1,0,-1
0.6193759579,0.5851680286,10,True,1,0,-1
0.6767956388,0.561780489,10,True,1,0,-1
0.6309668873,0.5960299467,10,True,1,0,-1
0.5929853649,0.6310253524,10,True,1,0,-1
0.6637569047,0.5916347246,10,True,1,0,-1
0.8297322198,0.2907251246,10,True,2,0,-1
0.8298680842,0.2907903679,10,True,2,0,-1
0.8430065937,0.3065096478,10,True,2,0,-1
0.828607093,0.2941590957,10,True,2,0,-1
0.7829556021,0.1890478288,10,True,2,0,-1
0.8753709734,0.406166577,10,True,2,0,-1
0.825025793,0.2880284026,10,True,2,0,-1
0.8068231513,0.2396385523,10,True,2,0,-1
